ID,SEASON,SEASON TYPE,GAME ID,DATE,TEAMS,QUARTER,MINUTES REMAINING,SECONDS REMAINING,RESULT,SHOT TYPE,SHOT VALUE,SHOT AREA,SHOT RANGE,SHOT DISTANCE,SHOT X LOCATION,SHOT Y LOCATION,OPPONENT,HOME TEAM,AWAY TEAM
482,2011-12,Regular Season,0021100509,"FEB 28, 2012",DAL vs. NJN,3,5,45,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,24+ ft.,22,-226,28,NJN,DAL,NJN
483,2011-12,Regular Season,0021100509,"FEB 28, 2012",DAL vs. NJN,3,5,37,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,8-16 ft.,15,-147,63,NJN,DAL,NJN
484,2011-12,Regular Season,0021100509,"FEB 28, 2012",DAL vs. NJN,4,9,59,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,8-16 ft.,14,-139,56,NJN,DAL,NJN
485,2011-12,Regular Season,0021100509,"FEB 28, 2012",DAL vs. NJN,4,9,31,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,8-16 ft.,15,-157,26,NJN,DAL,NJN
486,2011-12,Regular Season,0021100509,"FEB 28, 2012",DAL vs. NJN,4,7,33,Missed Shot,Tip Shot,2PT Field Goal,Restricted Area,Less Than 8 ft.,0,2,0,NJN,DAL,NJN
487,2011-12,Regular Season,0021100509,"FEB 28, 2012",DAL vs. NJN,4,7,3,Missed Shot,Jump Shot,2PT Field Goal,Restricted Area,Less Than 8 ft.,3,-26,25,NJN,DAL,NJN
488,2011-12,Regular Season,0021100509,"FEB 28, 2012",DAL vs. NJN,4,5,10,Missed Shot,Driving Jump shot,2PT Field Goal,Mid-Range,8-16 ft.,9,-87,41,NJN,DAL,NJN
489,2011-12,Regular Season,0021100509,"FEB 28, 2012",DAL vs. NJN,4,2,40,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Less Than 8 ft.,1,-8,7,NJN,DAL,NJN
490,2011-12,Regular Season,0021100518,"FEB 29, 2012",DAL @ MEM,1,0,24,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,8-16 ft.,10,102,20,MEM,MEM,DAL
491,2011-12,Regular Season,0021100533,"MAR 02, 2012",DAL @ NOH,1,11,2,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,24+ ft.,27,9,276,NOH,NOH,DAL
492,2011-12,Regular Season,0021100533,"MAR 02, 2012",DAL @ NOH,1,9,59,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,16-24 ft.,22,-106,200,NOH,NOH,DAL
493,2011-12,Regular Season,0021100533,"MAR 02, 2012",DAL @ NOH,1,9,21,Made Shot,Jump Bank Shot,3PT Field Goal,Above the Break 3,24+ ft.,25,-19,257,NOH,NOH,DAL
494,2011-12,Regular Season,0021100533,"MAR 02, 2012",DAL @ NOH,1,8,43,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,16-24 ft.,16,-18,159,NOH,NOH,DAL
495,2011-12,Regular Season,0021100533,"MAR 02, 2012",DAL @ NOH,2,10,25,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,8-16 ft.,14,-149,0,NOH,NOH,DAL
496,2011-12,Regular Season,0021100533,"MAR 02, 2012",DAL @ NOH,2,5,52,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,24+ ft.,24,-56,238,NOH,NOH,DAL
497,2011-12,Regular Season,0021100533,"MAR 02, 2012",DAL @ NOH,3,11,39,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,8-16 ft.,13,127,53,NOH,NOH,DAL
498,2011-12,Regular Season,0021100533,"MAR 02, 2012",DAL @ NOH,3,10,24,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,24+ ft.,26,234,124,NOH,NOH,DAL
499,2011-12,Regular Season,0021100533,"MAR 02, 2012",DAL @ NOH,3,9,6,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,24+ ft.,25,-49,247,NOH,NOH,DAL
500,2011-12,Regular Season,0021100533,"MAR 02, 2012",DAL @ NOH,3,7,45,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),8-16 ft.,12,54,118,NOH,NOH,DAL
501,2011-12,Regular Season,0021100533,"MAR 02, 2012",DAL @ NOH,3,3,8,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,8-16 ft.,14,144,15,NOH,NOH,DAL
502,2011-12,Regular Season,0021100533,"MAR 02, 2012",DAL @ NOH,4,9,38,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,24+ ft.,25,-131,214,NOH,NOH,DAL
503,2011-12,Regular Season,0021100533,"MAR 02, 2012",DAL @ NOH,4,8,56,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,16-24 ft.,17,141,102,NOH,NOH,DAL
504,2011-12,Regular Season,0021100533,"MAR 02, 2012",DAL @ NOH,4,7,24,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,8-16 ft.,15,149,37,NOH,NOH,DAL
505,2011-12,Regular Season,0021100533,"MAR 02, 2012",DAL @ NOH,4,5,0,Made Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,8-16 ft.,12,-89,82,NOH,NOH,DAL
506,2011-12,Regular Season,0021100533,"MAR 02, 2012",DAL @ NOH,4,3,42,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,8-16 ft.,14,-119,83,NOH,NOH,DAL
507,2011-12,Regular Season,0021100533,"MAR 02, 2012",DAL @ NOH,4,2,29,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Less Than 8 ft.,1,13,3,NOH,NOH,DAL
508,2011-12,Regular Season,0021100533,"MAR 02, 2012",DAL @ NOH,4,1,1,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,24+ ft.,26,-158,217,NOH,NOH,DAL
509,2011-12,Regular Season,0021100533,"MAR 02, 2012",DAL @ NOH,4,0,2,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,24+ ft.,25,-35,252,NOH,NOH,DAL
510,2011-12,Regular Season,0021100544,"MAR 03, 2012",DAL vs. UTA,1,11,20,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,8-16 ft.,14,147,14,UTA,DAL,UTA
511,2011-12,Regular Season,0021100544,"MAR 03, 2012",DAL vs. UTA,1,9,25,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,8-16 ft.,11,-112,31,UTA,DAL,UTA
512,2011-12,Regular Season,0021100544,"MAR 03, 2012",DAL vs. UTA,1,7,52,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,16-24 ft.,16,-161,44,UTA,DAL,UTA
513,2011-12,Regular Season,0021100544,"MAR 03, 2012",DAL vs. UTA,1,3,35,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,24+ ft.,23,133,197,UTA,DAL,UTA
514,2011-12,Regular Season,0021100544,"MAR 03, 2012",DAL vs. UTA,1,2,31,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,24+ ft.,24,42,241,UTA,DAL,UTA
515,2011-12,Regular Season,0021100544,"MAR 03, 2012",DAL vs. UTA,1,1,41,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,16-24 ft.,20,102,179,UTA,DAL,UTA
516,2011-12,Regular Season,0021100544,"MAR 03, 2012",DAL vs. UTA,2,10,18,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,16-24 ft.,17,173,0,UTA,DAL,UTA
517,2011-12,Regular Season,0021100544,"MAR 03, 2012",DAL vs. UTA,2,8,51,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,24+ ft.,24,182,159,UTA,DAL,UTA
518,2011-12,Regular Season,0021100544,"MAR 03, 2012",DAL vs. UTA,2,7,35,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,24+ ft.,24,121,211,UTA,DAL,UTA
519,2011-12,Regular Season,0021100544,"MAR 03, 2012",DAL vs. UTA,2,7,12,Made Shot,Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Less Than 8 ft.,2,23,0,UTA,DAL,UTA
520,2011-12,Regular Season,0021100544,"MAR 03, 2012",DAL vs. UTA,2,3,22,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,16-24 ft.,20,0,205,UTA,DAL,UTA
521,2011-12,Regular Season,0021100544,"MAR 03, 2012",DAL vs. UTA,2,2,45,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,16-24 ft.,19,69,178,UTA,DAL,UTA
522,2011-12,Regular Season,0021100544,"MAR 03, 2012",DAL vs. UTA,2,2,18,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,16-24 ft.,17,18,179,UTA,DAL,UTA
523,2011-12,Regular Season,0021100544,"MAR 03, 2012",DAL vs. UTA,2,1,22,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,24+ ft.,24,-82,227,UTA,DAL,UTA
524,2011-12,Regular Season,0021100544,"MAR 03, 2012",DAL vs. UTA,3,11,46,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,16-24 ft.,19,29,195,UTA,DAL,UTA
525,2011-12,Regular Season,0021100544,"MAR 03, 2012",DAL vs. UTA,3,8,47,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,16-24 ft.,20,-60,192,UTA,DAL,UTA
526,2011-12,Regular Season,0021100544,"MAR 03, 2012",DAL vs. UTA,3,7,29,Made Shot,Jump Bank Shot,3PT Field Goal,Above the Break 3,24+ ft.,24,225,97,UTA,DAL,UTA
527,2011-12,Regular Season,0021100544,"MAR 03, 2012",DAL vs. UTA,3,6,59,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,24+ ft.,24,209,126,UTA,DAL,UTA
528,2011-12,Regular Season,0021100544,"MAR 03, 2012",DAL vs. UTA,3,6,53,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,24+ ft.,24,165,181,UTA,DAL,UTA
529,2011-12,Regular Season,0021100544,"MAR 03, 2012",DAL vs. UTA,4,3,39,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,16-24 ft.,16,-45,162,UTA,DAL,UTA
530,2011-12,Regular Season,0021100544,"MAR 03, 2012",DAL vs. UTA,4,2,59,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,8-16 ft.,15,130,75,UTA,DAL,UTA
531,2011-12,Regular Season,0021100559,"MAR 05, 2012",DAL @ OKC,1,10,19,Missed Shot,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,8-16 ft.,12,-120,31,OKC,OKC,DAL
532,2011-12,Regular Season,0021100559,"MAR 05, 2012",DAL @ OKC,1,9,34,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,8-16 ft.,11,-106,52,OKC,OKC,DAL
533,2011-12,Regular Season,0021100559,"MAR 05, 2012",DAL @ OKC,1,8,11,Made Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Less Than 8 ft.,5,-51,0,OKC,OKC,DAL
534,2011-12,Regular Season,0021100559,"MAR 05, 2012",DAL @ OKC,1,7,37,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,16-24 ft.,18,-97,159,OKC,OKC,DAL
535,2011-12,Regular Season,0021100559,"MAR 05, 2012",DAL @ OKC,1,7,3,Missed Shot,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,8-16 ft.,10,-89,50,OKC,OKC,DAL
536,2011-12,Regular Season,0021100559,"MAR 05, 2012",DAL @ OKC,2,9,49,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Less Than 8 ft.,0,-5,0,OKC,OKC,DAL
537,2011-12,Regular Season,0021100559,"MAR 05, 2012",DAL @ OKC,2,8,42,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,24+ ft.,24,29,239,OKC,OKC,DAL
538,2011-12,Regular Season,0021100559,"MAR 05, 2012",DAL @ OKC,2,8,6,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,8-16 ft.,14,-144,36,OKC,OKC,DAL
539,2011-12,Regular Season,0021100559,"MAR 05, 2012",DAL @ OKC,2,7,26,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,8-16 ft.,9,-97,17,OKC,OKC,DAL
540,2011-12,Regular Season,0021100559,"MAR 05, 2012",DAL @ OKC,2,4,50,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,8-16 ft.,12,127,-2,OKC,OKC,DAL
541,2011-12,Regular Season,0021100559,"MAR 05, 2012",DAL @ OKC,2,4,13,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,16-24 ft.,18,-43,179,OKC,OKC,DAL
542,2011-12,Regular Season,0021100559,"MAR 05, 2012",DAL @ OKC,3,10,38,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,16-24 ft.,17,146,104,OKC,OKC,DAL
543,2011-12,Regular Season,0021100559,"MAR 05, 2012",DAL @ OKC,3,10,0,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,8-16 ft.,12,-120,1,OKC,OKC,DAL
544,2011-12,Regular Season,0021100559,"MAR 05, 2012",DAL @ OKC,3,8,35,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,8-16 ft.,13,130,6,OKC,OKC,DAL
545,2011-12,Regular Season,0021100559,"MAR 05, 2012",DAL @ OKC,3,7,34,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,24+ ft.,24,2,242,OKC,OKC,DAL
546,2011-12,Regular Season,0021100559,"MAR 05, 2012",DAL @ OKC,3,4,0,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,8-16 ft.,15,-90,131,OKC,OKC,DAL
547,2011-12,Regular Season,0021100559,"MAR 05, 2012",DAL @ OKC,4,10,25,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,24+ ft.,24,-49,241,OKC,OKC,DAL
548,2011-12,Regular Season,0021100559,"MAR 05, 2012",DAL @ OKC,4,6,12,Missed Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Less Than 8 ft.,7,-76,20,OKC,OKC,DAL
549,2011-12,Regular Season,0021100559,"MAR 05, 2012",DAL @ OKC,4,4,44,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,24+ ft.,24,-5,244,OKC,OKC,DAL
550,2011-12,Regular Season,0021100559,"MAR 05, 2012",DAL @ OKC,4,3,57,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,24+ ft.,24,-194,149,OKC,OKC,DAL
551,2011-12,Regular Season,0021100559,"MAR 05, 2012",DAL @ OKC,4,2,46,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,24+ ft.,24,-41,241,OKC,OKC,DAL
552,2011-12,Regular Season,0021100559,"MAR 05, 2012",DAL @ OKC,4,2,3,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,8-16 ft.,14,-142,23,OKC,OKC,DAL
553,2011-12,Regular Season,0021100568,"MAR 06, 2012",DAL vs. NYK,1,10,38,Missed Shot,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,8-16 ft.,11,-105,53,NYK,DAL,NYK
554,2011-12,Regular Season,0021100568,"MAR 06, 2012",DAL vs. NYK,1,7,36,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,16-24 ft.,18,83,162,NYK,DAL,NYK
555,2011-12,Regular Season,0021100568,"MAR 06, 2012",DAL vs. NYK,1,5,0,Made Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),8-16 ft.,10,-37,101,NYK,DAL,NYK
556,2011-12,Regular Season,0021100568,"MAR 06, 2012",DAL vs. NYK,1,3,38,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),8-16 ft.,8,1,88,NYK,DAL,NYK
557,2011-12,Regular Season,0021100568,"MAR 06, 2012",DAL vs. NYK,2,7,57,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,8-16 ft.,14,118,77,NYK,DAL,NYK
558,2011-12,Regular Season,0021100568,"MAR 06, 2012",DAL vs. NYK,2,5,21,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Less Than 8 ft.,0,2,7,NYK,DAL,NYK
559,2011-12,Regular Season,0021100568,"MAR 06, 2012",DAL vs. NYK,2,2,22,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),8-16 ft.,13,-64,118,NYK,DAL,NYK
560,2011-12,Regular Season,0021100568,"MAR 06, 2012",DAL vs. NYK,2,1,58,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,24+ ft.,26,1,261,NYK,DAL,NYK
561,2011-12,Regular Season,0021100568,"MAR 06, 2012",DAL vs. NYK,3,11,48,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,16-24 ft.,19,135,135,NYK,DAL,NYK
562,2011-12,Regular Season,0021100568,"MAR 06, 2012",DAL vs. NYK,3,11,12,Missed Shot,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,8-16 ft.,15,147,44,NYK,DAL,NYK
563,2011-12,Regular Season,0021100568,"MAR 06, 2012",DAL vs. NYK,3,10,43,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,16-24 ft.,16,54,153,NYK,DAL,NYK
564,2011-12,Regular Season,0021100568,"MAR 06, 2012",DAL vs. NYK,3,10,10,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,8-16 ft.,14,99,99,NYK,DAL,NYK
565,2011-12,Regular Season,0021100568,"MAR 06, 2012",DAL vs. NYK,3,7,32,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,8-16 ft.,11,-109,50,NYK,DAL,NYK
566,2011-12,Regular Season,0021100568,"MAR 06, 2012",DAL vs. NYK,4,10,44,Missed Shot,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,8-16 ft.,11,89,78,NYK,DAL,NYK
567,2011-12,Regular Season,0021100568,"MAR 06, 2012",DAL vs. NYK,4,8,9,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,8-16 ft.,13,136,22,NYK,DAL,NYK
568,2011-12,Regular Season,0021100568,"MAR 06, 2012",DAL vs. NYK,4,4,34,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,8-16 ft.,14,118,80,NYK,DAL,NYK
569,2011-12,Regular Season,0021100568,"MAR 06, 2012",DAL vs. NYK,4,2,28,Made Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Less Than 8 ft.,5,-57,17,NYK,DAL,NYK
570,2011-12,Regular Season,0021100568,"MAR 06, 2012",DAL vs. NYK,4,0,32,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,16-24 ft.,17,24,176,NYK,DAL,NYK
571,2011-12,Regular Season,0021100583,"MAR 08, 2012",DAL @ PHX,1,9,43,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,16-24 ft.,16,163,3,PHX,PHX,DAL
572,2011-12,Regular Season,0021100583,"MAR 08, 2012",DAL @ PHX,1,9,11,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,8-16 ft.,11,83,78,PHX,PHX,DAL
573,2011-12,Regular Season,0021100583,"MAR 08, 2012",DAL @ PHX,1,7,17,Made Shot,Fadeaway Bank shot,2PT Field Goal,Mid-Range,8-16 ft.,9,-86,39,PHX,PHX,DAL
574,2011-12,Regular Season,0021100583,"MAR 08, 2012",DAL @ PHX,1,6,44,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,24+ ft.,25,-37,254,PHX,PHX,DAL
575,2011-12,Regular Season,0021100583,"MAR 08, 2012",DAL @ PHX,2,6,53,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,16-24 ft.,18,155,107,PHX,PHX,DAL
576,2011-12,Regular Season,0021100583,"MAR 08, 2012",DAL @ PHX,3,9,16,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Less Than 8 ft.,1,-11,0,PHX,PHX,DAL
577,2011-12,Regular Season,0021100583,"MAR 08, 2012",DAL @ PHX,3,8,25,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,16-24 ft.,22,-169,148,PHX,PHX,DAL
578,2011-12,Regular Season,0021100583,"MAR 08, 2012",DAL @ PHX,3,7,3,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,24+ ft.,25,-196,156,PHX,PHX,DAL
579,2011-12,Regular Season,0021100583,"MAR 08, 2012",DAL @ PHX,3,0,43,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,8-16 ft.,10,-93,39,PHX,PHX,DAL
580,2011-12,Regular Season,0021100583,"MAR 08, 2012",DAL @ PHX,4,11,26,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Less Than 8 ft.,5,51,3,PHX,PHX,DAL
581,2011-12,Regular Season,0021100583,"MAR 08, 2012",DAL @ PHX,4,5,47,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,8-16 ft.,11,94,71,PHX,PHX,DAL
582,2011-12,Regular Season,0021100583,"MAR 08, 2012",DAL @ PHX,4,3,30,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,8-16 ft.,11,111,14,PHX,PHX,DAL
583,2011-12,Regular Season,0021100583,"MAR 08, 2012",DAL @ PHX,4,2,35,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Less Than 8 ft.,5,-27,48,PHX,PHX,DAL
584,2011-12,Regular Season,0021100583,"MAR 08, 2012",DAL @ PHX,4,1,1,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,8-16 ft.,13,135,20,PHX,PHX,DAL
585,2011-12,Regular Season,0021100583,"MAR 08, 2012",DAL @ PHX,4,0,25,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Less Than 8 ft.,1,-2,14,PHX,PHX,DAL
586,2011-12,Regular Season,0021100593,"MAR 09, 2012",DAL @ SAC,1,11,16,Made Shot,Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Less Than 8 ft.,3,-8,36,SAC,SAC,DAL
587,2011-12,Regular Season,0021100593,"MAR 09, 2012",DAL @ SAC,1,10,14,Made Shot,Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Less Than 8 ft.,2,17,15,SAC,SAC,DAL
588,2011-12,Regular Season,0021100593,"MAR 09, 2012",DAL @ SAC,2,9,43,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,16-24 ft.,20,-59,195,SAC,SAC,DAL
589,2011-12,Regular Season,0021100593,"MAR 09, 2012",DAL @ SAC,2,8,15,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,16-24 ft.,20,73,187,SAC,SAC,DAL
590,2011-12,Regular Season,0021100593,"MAR 09, 2012",DAL @ SAC,2,6,49,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,16-24 ft.,16,-7,162,SAC,SAC,DAL
591,2011-12,Regular Season,0021100593,"MAR 09, 2012",DAL @ SAC,2,1,15,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,16-24 ft.,16,165,26,SAC,SAC,DAL
592,2011-12,Regular Season,0021100593,"MAR 09, 2012",DAL @ SAC,2,0,58,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,16-24 ft.,18,144,123,SAC,SAC,DAL
593,2011-12,Regular Season,0021100593,"MAR 09, 2012",DAL @ SAC,3,11,38,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,16-24 ft.,19,91,170,SAC,SAC,DAL
594,2011-12,Regular Season,0021100593,"MAR 09, 2012",DAL @ SAC,3,10,16,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,16-24 ft.,19,2,198,SAC,SAC,DAL
595,2011-12,Regular Season,0021100593,"MAR 09, 2012",DAL @ SAC,3,7,52,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),8-16 ft.,10,-70,72,SAC,SAC,DAL
596,2011-12,Regular Season,0021100593,"MAR 09, 2012",DAL @ SAC,3,7,46,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,8-16 ft.,14,-142,28,SAC,SAC,DAL
597,2011-12,Regular Season,0021100593,"MAR 09, 2012",DAL @ SAC,4,10,15,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,8-16 ft.,14,133,56,SAC,SAC,DAL
598,2011-12,Regular Season,0021100593,"MAR 09, 2012",DAL @ SAC,4,9,39,Missed Shot,Jump Hook Shot,2PT Field Goal,In The Paint (Non-RA),Less Than 8 ft.,5,-45,28,SAC,SAC,DAL
599,2011-12,Regular Season,0021100602,"MAR 10, 2012",DAL @ GSW,1,9,51,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,8-16 ft.,9,88,33,GSW,GSW,DAL
600,2011-12,Regular Season,0021100602,"MAR 10, 2012",DAL @ GSW,1,8,13,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Less Than 8 ft.,7,-52,56,GSW,GSW,DAL
601,2011-12,Regular Season,0021100602,"MAR 10, 2012",DAL @ GSW,1,8,6,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,16-24 ft.,18,-116,148,GSW,GSW,DAL
602,2011-12,Regular Season,0021100602,"MAR 10, 2012",DAL @ GSW,1,6,41,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Less Than 8 ft.,4,-41,28,GSW,GSW,DAL
603,2011-12,Regular Season,0021100602,"MAR 10, 2012",DAL @ GSW,2,11,48,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,8-16 ft.,12,89,85,GSW,GSW,DAL
604,2011-12,Regular Season,0021100602,"MAR 10, 2012",DAL @ GSW,2,10,50,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,16-24 ft.,16,78,148,GSW,GSW,DAL
605,2011-12,Regular Season,0021100602,"MAR 10, 2012",DAL @ GSW,2,3,26,Made Shot,Jump Bank Shot,2PT Field Goal,Mid-Range,8-16 ft.,11,105,36,GSW,GSW,DAL
606,2011-12,Regular Season,0021100602,"MAR 10, 2012",DAL @ GSW,2,1,48,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,24+ ft.,27,-130,238,GSW,GSW,DAL
607,2011-12,Regular Season,0021100602,"MAR 10, 2012",DAL @ GSW,3,11,42,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),8-16 ft.,11,-70,94,GSW,GSW,DAL
608,2011-12,Regular Season,0021100602,"MAR 10, 2012",DAL @ GSW,3,10,57,Missed Shot,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,8-16 ft.,12,-92,88,GSW,GSW,DAL
609,2011-12,Regular Season,0021100602,"MAR 10, 2012",DAL @ GSW,3,7,27,Made Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),8-16 ft.,9,0,94,GSW,GSW,DAL
610,2011-12,Regular Season,0021100602,"MAR 10, 2012",DAL @ GSW,3,4,59,Missed Shot,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),8-16 ft.,8,51,72,GSW,GSW,DAL
611,2011-12,Regular Season,0021100602,"MAR 10, 2012",DAL @ GSW,4,10,2,Missed Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,8-16 ft.,13,-125,50,GSW,GSW,DAL
612,2011-12,Regular Season,0021100602,"MAR 10, 2012",DAL @ GSW,4,9,18,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,16-24 ft.,18,92,156,GSW,GSW,DAL
613,2011-12,Regular Season,0021100602,"MAR 10, 2012",DAL @ GSW,4,7,56,Made Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,8-16 ft.,13,-133,15,GSW,GSW,DAL
614,2011-12,Regular Season,0021100602,"MAR 10, 2012",DAL @ GSW,4,6,57,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,8-16 ft.,14,108,104,GSW,GSW,DAL
615,2011-12,Regular Season,0021100623,"MAR 13, 2012",DAL vs. WAS,1,11,21,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,16-24 ft.,19,48,187,WAS,DAL,WAS
